점착제,작업자,분류,설명,이론 고형분(%),측정 고형분(%),수율(%),전환율(%),응집량(%),pH,Tg,점도(cP),초기 유화제 농도,입도(nm),Scale,모노머,용제,개시제,유화제 및 첨가제,반응시간,온도
S250724A,노항우,약점용,[919기반] BA 단독 + MMA 40% + AA 1% + 고형분 30%,0.3021000027656555,0.299699991941452,0.9259999990463256,0.9921000003814696,0.0020999999251216,9,,25.0,0.00367,,512.969970703125,BA 58.25 / MMA 40 / AA 1 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.36wt%,4.75시간,83.0
S250729F,노항우,약점용,[919기반] BA 단독 + MMA 30% + AA 1% + 고형분 30%,0.3030999898910522,0.3122999966144562,0.9114999771118164,1.030400037765503,0.0043000001460313,8-9,,25.0,0.00367,,511.1499938964844,BA 68.25 / MMA 30 / AA 1 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.25wt%,4.75시간,83.0
S250729G,노항우,약점용,[919기반] BA 단독 + MMA 35% + AA 1% + 고형분 30%,0.3032000064849853,0.2953000068664551,0.9334999918937684,0.973900020122528,0.003000000026077,8-9,,25.0,0.00367,,511.1000061035156,BA 63.25 / MMA 35 / AA 1 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.25wt%,4.75시간,83.0
S250729H,노항우,4223대체용,[913기반] BA : NOAA = 1 : 1,0.4629000127315521,0.4483000040054321,0.6312999725341797,0.968500018119812,0.0329000018537044,8-9,,50.0,0.00414,,330.5400085449219,BA 39.35 / NOAA 39.35 / CHMA 20 / AA 1.3,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.21wt%,4.75시간,83.0
S250811H,노항우,약점용,[919기반] BA 단독 + IBOA 40% + AA 1% + 2-HEMA 2% + 고형분 30%,0.3032000064849853,0.2829000055789947,0.9143999814987184,0.9330000281333924,0.0007999999797903,8-9,-20.350000381469727,25.0,0.00367,,511.0400085449219,BA 56.25 / IBOA 40 / AA 1 / 2-HEMA 2 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.24wt%,4.75시간,83.0
S250811G,노항우,약점용,[919기반] BA 단독 + CHMA 40% + AA 1% + 2-HEMA 2% + 고형분 30%,0.3030999898910522,0.3000999987125397,0.9243999719619752,0.9901000261306764,0.0020000000949949,8-9,-13.789999961853027,25.0,0.00367,,511.1300048828125,BA 56.25 / CHMA 40 / AA 1 / 2-HEMA 2 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.25wt%,4.75시간,83.0
S250811F,노항우,약점용,[919기반] BA 단독 + MMA 40% + AA 1% + 2-HEMA 2% + 고형분 30%,0.2930000126361847,0.3030999898910522,0.9144999980926514,0.96670001745224,0.001300000003539,8-9,2.2799999713897705,25.0,0.00367,,511.2000122070313,BA 56.25 / MMA 40 / AA 1 / 2-HEMA 2 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.25wt%,4.75시간,83.0
S250808H,노항우,장기보관성개선,[911기반] MMA 4.5% + POEA 4.5%,0.4842000007629394,0.4648000001907348,0.6308000087738037,0.9599000215530396,0.0953999981284141,8-9,,50.0,0.0025,,315.8999938964844,BA 89.7 / MMA 4.5 / POEA 4.5 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.19wt%,4.75시간,83.0
S250808G,노항우,장기보관성개선,[911기반] MMA > POEA,0.4839999973773956,0.4496000111103058,0.5364999771118164,0.9289000034332277,0.0939000025391578,8-9,,50.0,0.0025,,316.0299987792969,BA 89.7 / POEA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.20wt%,4.75시간,83.0
S250808F,노항우,장기보관성개선,[920기반] MMA > POEA,0.4844000041484833,0.4505000114440918,0.5784000158309937,0.9300000071525574,0.0696000009775161,8-9,,50.0,0.0025,,315.7799987792969,BA 93.45 / POEA 4.5 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.18wt%,4.75시간,83.0
S250801H,노항우,약점용,[919기반] BA 단독 + MMA 35% + AA 1% + 2-HEMA 2% + 고형분 30%,0.3032000064849853,0.2896000146865845,0.9269999861717224,0.9550999999046326,0.0013999999500811,8-9,-5.139999866485596,25.0,0.00367,,511.0899963378906,BA 61.25 / MMA 35 / AA 1 / 2-HEMA 2 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.25wt%,4.75시간,83.0
S250801G,노항우,약점용,[919기반] BA 단독 + MMA 30% + AA 1% + 2-HEMA 2% + 고형분 30%,0.3030999898910522,0.2958000004291534,0.9088000059127808,0.9758999943733216,0.0023000000510364,8-9,-12.350000381469728,25.0,0.00367,,511.1499938964844,BA 66.25 / MMA 30 / AA 1 / 2-HEMA 2 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.25wt%,4.75시간,83.0
S250801F,노항우,약점용,[919기반] BA 단독 + MMA 30% + AA 1% + 고형분 30% : 재현,0.3032000064849853,0.2949999868869781,0.9240000247955322,0.9729999899864196,0.0010000000474974,8-9,-14.239999771118164,25.0,0.00367,,511.0199890136719,BA 68.25 / MMA 30 / AA 1 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.24wt%,4.75시간,83.0
S250729H,노항우,4223대체용,[913기반] BA : NOAA = 1 : 1,0.4629000127315521,0.4483000040054321,0.6312999725341797,0.968500018119812,0.0329000018537044,8-9,,50.0,0.00414,,330.5400085449219,BA 39.35 / NOAA 39.35 / CHMA 20 / AA 1.3,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.21wt%,4.75시간,83.0
S250821H,노항우,약점용,[919기반] BA 단독 + MMA 35% + MAA 3% + 고형분 30%,0.3021000027656555,0.3028999865055084,0.92739999294281,1.0025999546051023,0.0012000000569969,8-9,-2.2200000286102295,25.0,0.00367,,512.9000244140625,BA 61.25 / MMA 35 / MAA 3 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.36wt%,4.75시간,83.0
S250821G,노항우,약점용,[919기반] BA 단독 + MMA 35% + AA 1% + MAA 2% + 고형분 30%,0.3021000027656555,0.3009999990463257,0.9171000123023988,0.996399998664856,0.0015000000130385,8-9,-2.6500000953674316,25.0,0.00367,,512.8900146484375,BA 61.25 / MMA 35 / AA 1 / MAA 2 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.36wt%,4.75시간,83.0
S250821F,노항우,약점용,[919기반] BA 단독 + MMA 35% + AA 1% + MAA 1% + 고형분 30%,0.3025999963283539,0.3037000000476837,0.912999987602234,1.003600001335144,0.0010999999940395,8-9,-4.889999866485596,25.0,0.00367,,511.9700012207031,BA 62.25 / MMA 35 / AA 1 / MAA 1 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.30wt%,4.75시간,83.0
S250821E,노항우,약점용,[919기반] BA 단독 + MMA 35% + MAA 2% + 고형분 30%,0.3025999963283539,0.3000999987125397,0.9190000295639038,0.991699993610382,0.001700000022538,8-9,-5.309999942779541,25.0,0.00367,,511.9700012207031,BA 62.25 / MMA 35 / AA 2 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 030wt%,4.75시간,83.0
S250820H,노항우,약점용,[919기반] BA 단독 + MMA 35% + AA 1% + b-CEA 1% + 고형분 30%,0.3030000030994415,0.2976999878883362,0.9235000014305116,0.9825000166893004,0.0007399999885819,8-9,-6.320000171661377,25.0,0.00367,,511.4299926757813,BA 62.25 / MMA 35 / AA 1 / b-CEA 1 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.27wt%,4.75시간,83.0
S250820G,노항우,약점용,[919기반] BA 단독 + EA 17.5% + IBOMA 17.5% + AA 1% + 고형분 30%,0.3030000030994415,0.3003999888896942,0.5228999853134155,0.9914000034332277,0.0028999999631196,8-9,-35.529998779296875,25.0,0.00367,,511.30999755859375,BA 63.25 / EA 17.5 / IBOMA 17.5 / AA 1 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.26wt%,4.75시간,83.0
S250820F,노항우,약점용,[919기반] BA 단독 + MMA 17.5% + IBOMA 17.5% + AA 1% + 고형분 30%,0.3030999898910522,0.3030000030994415,0.9286999702453612,0.9997000098228456,0.0006000000284984,8-9,-16.43000030517578,25.0,0.00367,,511.2099914550781,BA 63.25 / MMA 17.5 / IBOMA 17.5 / AA 1 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.25wt%,4.75시간,83.0
S250820E,노항우,약점용,[919기반] BA 단독 + MMA 17.5% + EA 17.5% + AA 1% + 고형분 30%,0.3030999898910522,0.3021000027656555,0.9192000031471252,0.9966999888420104,0.0040000001899898,8-9,-25.450000762939453,25.0,0.00367,,511.1700134277344,BA 63.25 / MMA 17.5 / EA 17.5 / AA 1 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.25wt%,4.75시간,83.0
S250819E,노항우,논문용,[911기반] SR-1025 2.5% + BA/MMA/BMA/AA=77/12/10/1,0.484499990940094,,,,,,,,0.00357,,318.760009765625,BA 77 / MMA 12 / BMA 10 / AA 1,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 2.50wt%(초기 0.03wt%) / ER-10 0.10wt% / NaHCO3 0.06wt%,4.75시간,83.0
S250819D,노항우,논문용,[911기반] SR-1025 2.5% + BA/MMA/BMA/AA=82/12/5/1,0.484499990940094,,,,,,,,0.00357,,318.760009765625,BA 82 / MMA 12 / BMA 5 / AA 1,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 2.50wt%(초기 0.03wt%) / ER-10 0.10wt% / NaHCO3 0.06wt%,4.75시간,83.0
S250819C,노항우,논문용,[911기반] SR-1025 2.5% + BA/AN/AA=87/12/1,0.484499990940094,,,,,,,,0.00357,,318.760009765625,BA 87 / AN 12 / AA 1,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 2.50wt%(초기 0.03wt%) / ER-10 0.10wt% / NaHCO3 0.06wt%,4.75시간,83.0
S250819B,노항우,논문용,[911기반] SR-1025 2.5% + BA/CHMA/AA=87/12/1,0.484499990940094,,,,,,,,0.00357,,318.760009765625,BA 87 / CHMA 12 / AA 1,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 2.50wt%(초기 0.03wt%) / ER-10 0.10wt% / NaHCO3 0.06wt%,4.75시간,83.0
S250819A,노항우,논문용,[911기반] SR-1025 2.5% + BA/St/AA=87/12/1,0.484499990940094,,,,,,,,0.00357,,318.760009765625,BA 87 / St 12 / AA 1,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 2.50wt%(초기 0.03wt%) / ER-10 0.10wt% / NaHCO3 0.06wt%,4.75시간,83.0
S250818H,노항우,약점용,[919기반] BA 단독 + MMA 17.5% + IBOA 17.5% + MAA 1% + 고형분 30%,0.3032000064849853,0.2948000133037567,0.9272000193595886,0.9722999930381776,0.001300000003539,8-9,-16.1200008392334,25.0,0.00367,,511.0299987792969,BA 63.25 / MMA 17.5 / IBOA 17.5 / MAA 1 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.24wt%,4.75시간,83.0
S250818G,노항우,약점용,[919기반] BA 단독 + MMA 35% + MAA 2% + 고형분 30%,0.3032000064849853,0.2942000031471252,0.912500023841858,0.970300018787384,0.0023000000510364,8-9,-4.480000019073486,25.0,0.00367,,511.0,BA 62.25 / MMA 35 / MAA 2 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.24wt%,4.75시간,83.0
S250818F,노항우,약점용,[919기반] BA:2-EHA=1:1 + MMA 35% + MAA 1% + 고형분 30%,0.303299993276596,0.2939999997615814,0.9348999857902528,0.9692999720573424,0.0012000000569969,8-9,-6.320000171661377,25.0,0.00367,,510.8800048828125,BA 31.63 / 2-EHA 31.63 / MMA 35 / MAA 1 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.23wt%,4.75시간,83.0
S250818E,노항우,논문용,[911기반] SR-1025 2.5% + BA/BMA/AA=87/12/1,0.484499990940094,,,,,,,,0.00357,,318.760009765625,BA 87 / BMA 12 / AA 1,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 2.50wt%(초기 0.03wt%) / ER-10 0.10wt% / NaHCO3 0.06wt%,4.75시간,83.0
S250818D,노항우,논문용,[911기반] SR-1025 2.5% + BA/MMA/AA=83/12/5,0.484499990940094,,,,,,,,0.00357,,318.760009765625,BA 83 / MMA 12 / AA 5,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 2.50wt%(초기 0.03wt%) / ER-10 0.10wt% / NaHCO3 0.06wt%,4.75시간,83.0
S250818C,노항우,논문용,[911기반] SR-1025 2.5% + BA/MMA/AA=86/12/2,0.484499990940094,,,,,,,,0.00357,,318.760009765625,BA 86 / MMA 12 / AA 2,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 2.50wt%(초기 0.03wt%) / ER-10 0.10wt% / NaHCO3 0.06wt%,4.75시간,83.0
S250818B,노항우,논문용,[911기반] SR-1025 2.5% + BA/MMA/AA=87/12/1,0.484499990940094,,,,,,,,0.00357,,318.760009765625,BA 87 / MMA 12 / AA 1,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 2.50wt%(초기 0.03wt%) / ER-10 0.10wt% / NaHCO3 0.06wt%,4.75시간,83.0
S250818A,노항우,논문용,[911기반] SR-1025 2.5% + BA/MMA/AA=87.5/12/0.5,0.484499990940094,,,,,,,,0.00357,,318.760009765625,BA 87.5 / MMA 12 / AA 0.5,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 2.50wt%(초기 0.03wt%) / ER-10 0.10wt% / NaHCO3 0.06wt%,4.75시간,83.0
S250813H,노항우,약점용,[919기반] BA:2-EHA=1:1 + MMA 35% + AA 1% + 고형분 30%,0.3030999898910522,0.2939000129699707,0.91729998588562,0.9696000218391418,0.0012000000569969,8-9,-6.769999980926514,25.0,0.00367,,511.1300048828125,BA 31.63 / 2-EHA 31.63 / MMA 35 / AA 1 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 025.wt%,4.75시간,83.0
S250813G,노항우,약점용,[919기반] BA:2-EHA=1:1 + MMA 30% + AA 1% + 고형분 30%,0.3030999898910522,0.2955999970436096,0.911300003528595,0.9753000140190125,0.0007999999797903,8-9,-14.609999656677246,25.0,0.00367,,511.2000122070313,BA 34.13 / 2-EHA 34.13 / MMA 30 / AA 1 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 025.wt%,4.75시간,83.0
S250813F,노항우,약점용,[919기반] BA 단독 + MMA 35% + MAA 1% + 고형분 30%,0.3032000064849853,0.2899999916553497,0.9082000255584716,0.9564999938011168,0.00179999996908,8-9,-6.710000038146973,25.0,0.00367,,511.0700073242187,BA 63.25 / MMA 35 / MAA 1 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 025.wt%,4.75시간,83.0
S250813E,노항우,약점용,[919기반] BA 단독 + MMA 30% + MAA 1% + 고형분 30%,0.3030999898910522,0.2899999916553497,0.9067999720573424,0.9567999839782716,0.001700000022538,8-9,-13.869999885559082,25.0,0.00367,,511.2099914550781,BA 68.25 / MMA 30 / MAA 1 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 025.wt%,4.75시간,83.0
S250722H,정주현,WPVC대체용,[913기반] HDDA 0.75%,0.4648000001907348,0.4596000015735626,0.6244000196456909,0.9887999892234802,0.0886000022292137,9,,80.0,0.00414,,330.9700012207031,BA 77.95 / CHMA 20 / AA 1.3 / HDDA 0.75,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.24wt%,4.75시간,83.0
S250722G,정주현,WPVC대체용,[913기반] HDDA 0.75% + AA 5%,0.4679999947547912,0.4302000105381012,0.6392999887466431,0.9192000031471252,0.0465999990701675,8.5,,8650.0,0.00414,,331.07000732421875,BA 74.25 / CHMA 20 / AA 5 / HDDA 0.75,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.25wt%,4.75시간,83.0
S250722F,정주현,WPVC대체용,[913기반] HDDA 0.75% + AA 3%,0.4652999937534332,0.4077000021934509,0.6025999784469604,0.8762000203132629,0.0258000008761882,9,,100.0,0.00414,,332.9700012207031,BA 76.25 / CHMA 20 / AA 3 / HDDA 0.75,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.36wt%,4.75시간,83.0
